国名,地域数,表面積,人口,人口密度,言語数
Iceland,2,103000.00,279000,2.7087,2
Mauritania,6,1025520.00,2670000,2.6036,6
Suriname,2,163265.00,417000,2.5541,2
Australia,8,7741220.00,18886000,2.4397,8
Namibia,8,824292.00,1726000,2.0939,8
"French Guiana",2,90000.00,181000,2.0111,2
Mongolia,6,1566500.00,2662000,1.6993,6
"Western Sahara",1,266000.00,293000,1.1015,1
Pitcairn,1,49.00,50,1.0204,1
"Falkland Islands",1,12173.00,2000,0.1643,1
"Svalbard and Jan Mayen",2,62422.00,3200,0.0513,2
Greenland,2,2166090.00,56000,0.0259,2
